Date,Portfolio_Value,Benchmark_Value,Portfolio_Drawdown,Benchmark_Drawdown
2020-03-31,10965.884797380779,10559.401264850852,-0.1422770366438422,-0.23371259141639097
2020-04-01,10773.781404903786,10084.174009170812,-0.15730286393554357,-0.26819945796398037
2020-04-02,10974.436267142913,10316.87234654729,-0.14160816293953513,-0.2513127234363808
2020-04-03,10954.214116955425,10167.751627951953,-0.14318988688655201,-0.26213429618965
2020-04-06,11397.879314629801,10850.677787137322,-0.10848755003744028,-0.2125748842826431
2020-04-07,11379.146551427915,10861.739230784244,-0.10995277801149382,-0.21177216405497182
2020-04-08,11492.426643954712,11226.353410064363,-0.10109230405552529,-0.18531240108494054
2020-04-09,11715.57782113878,11397.18967519709,-0.08363799986509177,-0.17291494827325316
2020-04-13,11762.324940158132,11293.131452806309,-0.07998156190367725,-0.1804663712732556
2020-04-14,11948.562968888098,11626.194744379394,-0.06541450809603286,-0.1562962313010749
2020-04-15,11792.647362198346,11379.16263661131,-0.07760982098454229,-0.1742231562232926
2020-04-16,11807.473892343012,11434.060473985512,-0.07645012839183786,-0.1702392635305931
2020-04-17,11842.648264610765,11742.95125382409,-0.073698880556105,-0.1478233036403504
2020-04-20,11777.600749267378,11536.068391900977,-0.0787867278798897,-0.16283662950676378
2020-04-21,11563.63914864895,11185.796823462937,-0.09552224731291337,-0.18825556053766945
2020-04-22,11782.25403997864,11434.060473985512,-0.07842275959352087,-0.1702392635305931
2020-04-23,11832.694892292424,11433.243072333993,-0.07447740742904041,-0.17029858172275228
2020-04-24,11866.701085834911,11592.603752716823,-0.07181753149229045,-0.15873390303143595
2020-04-27,11895.645502658746,11759.750829863287,-0.06955357455407006,-0.14660417167770487
2020-04-28,11857.369872686391,11705.670394140603,-0.07254739469451633,-0.15052874617824533
2020-04-29,12025.786499069562,12012.11032909393,-0.0593742845872204,-0.1282906421653251
2020-04-30,11883.120828762801,11900.269110112775,-0.07053322194300354,-0.13640687107985455
2020-05-01,11767.836090633342,11585.22945695221,-0.07955049405968281,-0.15926904984988338
2020-05-04,11801.522045303527,11617.18428524244,-0.07691566637390466,-0.15695011320299568
2020-05-05,11884.768800991706,11724.519594620464,-0.07040432184512527,-0.14916087458900426
2020-05-06,11762.27367147322,11645.038504582039,-0.07998557200675264,-0.154928754508454
2020-05-07,11910.951469869555,11785.559504970135,-0.0683563816420834,-0.14473125651229354
2020-05-08,11982.4914058794,11980.566241733415,-0.06276071407430711,-0.13057977166740065
